,n-gram,textblob-score,textblob-subjectivity,vader-pos,vader-neg,vader-neu,vader-compound
465,i would confident i travel,0.5,0.833333333,0.444,0,0.556,0.4939
466,would confident i travel tomorrow,0.5,0.833333333,0.444,0,0.556,0.4939
467,confident i travel tomorrow i,0.5,0.833333333,0.444,0,0.556,0.4939
468,i travel tomorrow i especially,0,1,0,0,1,0
469,travel tomorrow i especially appreciate,0,1,0.428,0,0.572,0.4576
470,tomorrow i especially appreciate guideline,0,1,0.428,0,0.572,0.4576
471,i especially appreciate guideline facemasks,0,1,0.428,0,0.572,0.4576
472,especially appreciate guideline facemasks different,0,0.8,0.428,0,0.572,0.4576
473,appreciate guideline facemasks different different,0,0.6,0.403,0,0.597,0.4019
474,guideline facemasks different different country,0,0.6,0,0,1,0
475,facemasks different different country i,0,0.6,0,0,1,0
476,different different country i not,0,0.6,0,0,1,0
477,different country i not know,0,0.6,0,0,1,0
478,country i not know would,0,0,0,0,1,0
479,i not know would socially,0.033333333,0.066666667,0,0,1,0
480,not know would socially acceptable,0.033333333,0.066666667,0.365,0,0.635,0.3182
481,know would socially acceptable one,0.033333333,0.066666667,0.365,0,0.635,0.3182
482,would socially acceptable one country,0.033333333,0.066666667,0.365,0,0.635,0.3182
483,socially acceptable one country not,0.033333333,0.066666667,0.365,0,0.635,0.3182
484,acceptable one country not another,0,0,0.365,0,0.635,0.3182
